# round	mode	threads	workers	kind	index	value_us	collections
1	checked	4	3	reset	66	35.146	0
1	checked	4	3	reset	67	35.558	0
1	checked	4	3	reset	68	35.858	0
1	checked	4	3	reset	69	35.517	0
1	checked	4	3	reset	70	35.157	0
1	checked	4	3	reset	71	34.926	0
1	checked	4	3	reset	72	34.865	0
1	checked	4	3	reset	73	35.086	0
1	checked	4	3	reset	74	34.926	0
1	checked	4	3	reset	75	35.848	0
1	checked	4	3	reset	76	35.427	0
1	checked	4	3	reset	77	36.309	0
1	checked	4	3	reset	78	34.365	0
1	checked	4	3	reset	79	34.866	0
1	checked	4	3	reset	80	34.826	0
1	checked	4	3	reset	81	37.851	0
1	checked	4	3	reset	82	35.938	0
1	checked	4	3	reset	83	34.906	0
1	checked	4	3	reset	84	34.716	0
1	checked	4	3	reset	85	34.255	0
1	checked	4	3	reset	86	34.986	0
1	checked	4	3	reset	87	35.356	0
1	checked	4	3	reset	88	34.395	0
1	checked	4	3	reset	89	34.565	0
1	checked	4	3	reset	90	36.729	0
1	checked	4	3	reset	91	33.754	0
1	checked	4	3	reset	92	34.635	0
1	checked	4	3	reset	93	35.147	0
1	checked	4	3	reset	94	35.156	0
1	checked	4	3	reset	95	35.437	0
1	checked	4	3	reset	96	34.204	0
1	checked	4	3	reset	97	35.036	0
1	checked	4	3	reset	98	34.345	0
1	checked	4	3	reset	99	35.968	0
1	checked	4	3	reset	100	34.054	0
1	checked	4	3	reset	101	34.675	0
1	checked	4	3	reset	102	35.217	0
1	checked	4	3	reset	103	35.407	0
1	checked	4	3	reset	104	35.778	0
1	checked	4	3	reset	105	34.735	0
1	checked	4	3	reset	106	34.715	0
1	checked	4	3	reset	107	35.276	0
1	checked	4	3	reset	108	35.907	0
1	checked	4	3	reset	109	35.897	0
1	checked	4	3	reset	110	35.006	0
1	checked	4	3	reset	111	34.705	0
1	checked	4	3	reset	112	33.634	0
1	checked	4	3	reset	113	34.725	0
1	checked	4	3	reset	114	39.264	0
1	checked	4	3	reset	115	35.867	0
1	checked	4	3	reset	116	36.358	0
1	checked	4	3	reset	117	34.886	0
1	checked	4	3	reset	118	34.916	0
1	checked	4	3	reset	119	34.024	0
1	checked	4	3	reset	120	34.756	0
1	checked	4	3	reset	121	33.764	0
1	checked	4	3	reset	122	34.355	0
1	checked	4	3	reset	123	34.034	0
1	checked	4	3	reset	124	35.186	0
1	checked	4	3	reset	125	37.3	0
1	checked	4	3	reset	126	33.924	0
1	checked	4	3	reset	127	34.906	0
1	checked	4	3	reset	128	34.766	0
1	checked	4	3	reset	129	34.365	0
1	checked	4	3	reset	130	33.514	0
1	checked	4	3	reset	131	34.285	0
1	checked	4	3	reset	132	35.918	0
1	checked	4	3	reset	133	34.465	0
1	checked	4	3	reset	134	35.076	0
1	checked	4	3	reset	135	33.824	0
1	checked	4	3	reset	136	37.3	0
1	checked	4	3	reset	137	34.905	0
1	checked	4	3	reset	138	34.836	0
1	checked	4	3	reset	139	34.846	0
1	checked	4	3	reset	140	34.355	0
1	checked	4	3	reset	141	33.974	0
1	checked	4	3	reset	142	34.736	0
1	checked	4	3	reset	143	34.314	0
1	checked	4	3	reset	144	34.916	0
1	checked	4	3	reset	145	35.086	0
1	checked	4	3	reset	146	35.156	0
1	checked	4	3	reset	147	36.669	0
1	checked	4	3	reset	148	33.083	0
1	checked	4	3	reset	149	33.784	0
1	checked	4	3	reset	150	34.706	0
1	checked	4	3	reset	151	33.643	0
1	checked	4	3	reset	152	34.866	0
1	checked	4	3	reset	153	35.026	0
1	checked	4	3	reset	154	34.665	0
1	checked	4	3	reset	155	34.585	0
1	checked	4	3	reset	156	34.255	0
1	checked	4	3	reset	157	34.585	0
1	checked	4	3	reset	158	35.467	0
1	checked	4	3	reset	159	34.415	0
1	checked	4	3	reset	160	35.798	0
1	checked	4	3	reset	161	34.686	0
1	checked	4	3	reset	162	34.455	0
1	checked	4	3	reset	163	34.045	0
1	checked	4	3	reset	164	34.635	0
1	checked	4	3	reset	165	33.533	0
1	checked	4	3	reset	166	35.136	0
1	checked	4	3	reset	167	35.207	0
1	checked	4	3	reset	168	34.234	0
1	checked	4	3	reset	169	35.637	0
1	checked	4	3	reset	170	34.596	0
1	checked	4	3	reset	171	33.985	0
1	checked	4	3	reset	172	34.185	0
1	checked	4	3	reset	173	35.257	0
1	checked	4	3	reset	174	33.373	0
1	checked	4	3	reset	175	35.807	0
1	checked	4	3	reset	176	33.323	0
1	checked	4	3	reset	177	34.184	0
1	checked	4	3	reset	178	34.095	0
1	checked	4	3	reset	179	34.775	0
1	checked	4	3	reset	180	35.037	0
1	checked	4	3	reset	181	34.936	0
1	checked	4	3	reset	182	34.705	0
1	checked	4	3	reset	183	33.914	0
1	checked	4	3	reset	184	33.834	0
1	checked	4	3	reset	185	34.605	0
1	checked	4	3	reset	186	33.383	0
1	checked	4	3	reset	187	33.834	0
1	checked	4	3	reset	188	33.623	0
1	checked	4	3	reset	189	34.244	0
1	checked	4	3	reset	190	34.625	0
1	checked	4	3	reset	191	34.284	0
1	checked	4	3	reset	192	34.576	0
1	checked	4	3	reset	193	36.418	0
1	checked	4	3	reset	194	35.036	0
1	checked	4	3	reset	195	36.018	0
1	checked	4	3	reset	196	34.445	0
1	checked	4	3	reset	197	35.136	0
